"","11.1.3.Proporción de la población urbana que habita en viviendas precarias","","","","","","","","","","","",""
"Doctor Mora","","","","","","","","","","","","",""
"Dolores Hidalgo Cuna de la Independencia Nacional","","","17.09","","","","","","23.91","","","",""
"Guanajuato","","","15.89","","","","","","17.89","","","",""
"Huanímaro","","","","","","","","","","","","",""
"Irapuato","","","11.87","","","","","","20.26","","","",""
"Jaral del Progreso","","","11.2","","","","","","42.84","","","",""
"Jerécuaro","","","","","","","","","","","","",""
"León","","","14.95","","","","","","17.32","","","",""
"Moroleón","","","7.24","","","","","","14.6","","","",""
"Ocampo","","","","","","","","","","","","",""
"Pénjamo","","","7.09","","","","","","24.34","","","",""
"Pueblo Nuevo","","","","","","","","","","","","",""
"Purísima del Rincón","","","17.46","","","","","","24.59","","","",""
"Romita","","","14.98","","","","","","32.65","","","",""
"Salamanca","","","9.88","","","","","","17.01","","","",""
"Salvatierra","","","27.42","","","","","","26.08","","","",""
"San Diego de la Unión","","","","","","","","","","","","",""
"San Felipe","","","26.94","","","","","","30.41","","","",""
"San Francisco del Rincón","","","16.13","","","","","","20.08","","","",""
"San José Iturbide","","","19.46","","","","","","25.89","","","",""
"San Luis de la Paz","","","17.26","","","","","","28.44","","","",""
"Santa Catarina","","","","","","","","","","","","",""
"Santa Cruz de Juventino Rosas","","","21.4","","","","","","35.95","","","",""
"Santiago Maravatío","","","","","","","","","","","","",""
"Silao de la Victoria","","","18.9","","","","","","30.12","","","",""
"Tarandacuao","","","","","","","","","","","","",""
"Tarimoro","","","","","","","","","","","","",""
"Tierra Blanca","","","","","","","","","","","","",""
"Uriangato","","","17.67","","","","","","15.94","","","",""
"Valle de Santiago","","","18.03","","","","","","36.68","","","",""
"Victoria","","","","","","","","","","","","",""
"Villagrán","","","20.58","","","","","","22.29","","","",""
"Xichú","","","","","","","","","","","","",""
"Yuriria","","","22.42","","","","","","24.83","","","",""
"Guerrero","36.52","35.37","34.53","38.67","","","","","","","","",""
"Acapulco de Juárez","","","36.89","","","","","","49.23","","","",""
"Ahuacuotzingo","","","","","","","","","","","","",""
"Ajuchitlán del Progreso","","","","","","","","","","","","",""
"Alcozauca de Guerrero","","","","","","","","","","","","",""
"Alpoyeca","","","","","","","","","","","","",""
"Apaxtla","","","","","","","","","","","","",""
"Arcelia","","","40.23","","","","","","76.82","","","",""
"Atenango del Río","","","","","","","","","","","","",""
"Atlamajalcingo del Monte","","","","","","","","","","","","",""
"Atlixtac","","","","","","","","","","","","",""
"Atoyac de Álvarez","","","46.42","","","","","","54.95","","","",""
"Ayutla de los Libres","","","67.14","","","","","","","","","",""
"Azoyú","","","","","","","","","","","","",""
"Benito Juárez","","","","","","","","","","","","",""
"Buenavista de Cuéllar","","","","","","","","","","","","",""
"Coahuayutla de José María Izazaga","","","","","","","","","","","","",""
"Cocula","","","","","","","","","","","","",""
"Copala","","","","","","","","","","","","",""
"Copalillo","","","","","","","","","","","","",""
"Copanatoyac","","","","","","","","","","","","",""
"Coyuca de Benítez","","","","","","","","","","","","",""
"Coyuca de Catalán","","","","","","","","","","","","",""
"Cuajinicuilapa","","","","","","","","","","","","",""
"Cualác","","","","","","","","","","","","",""
"Cuautepec","","","","","","","","","","","","",""
"Cuetzala del Progreso","","","","","","","","","","","","",""
"Cutzamala de Pinzón","","","","","","","","","","","","",""
"Chilapa de Álvarez","","","65.06","","","","","","52.45","","","",""
"Chilpancingo de los Bravo","","","45.85","","","","","","44.79","","","",""
"Florencio Villarreal","","","","","","","","","","","","",""
"General Canuto A. Neri","","","","","","","","","","","","",""
"General Heliodoro Castillo","","","","","","","","","","","","",""
"Huamuxtitlán","","","","","","","","","","","","",""
"Huitzuco de los Figueroa","","","60.55","","","","","","49.26","","","",""
"Iguala de la Independencia","","","37.38","","","","","","40.67","","","",""
"Igualapa","","","","","","","","","","","","",""
"Ixcateopan de Cuauhtémoc","","","","","","","","","","","","",""
"Zihuatanejo de Azueta","","","36.92","","","","","","46.17","","","",""
"Juan R. Escudero","","","","","","","","","","","","",""
"Leonardo Bravo","","","","","","","","","","","","",""
"Malinaltepec","","","","","","","","","","","","",""
"Mártir de Cuilapan","","","","","","","","","","","","",""
"Metlatónoc","","","","","","","","","","","","",""
"Mochitlán","","","","","","","","","","","","",""
"Olinalá","","","","","","","","","","","","",""
"Ometepec","","","63.91","","","","","","55.82","","","",""
"Pedro Ascencio Alquisiras","","","","","","","","","","","","",""
"Petatlán","","","41.11","","","","","","52.91","","","",""
"Pilcaya","","","","","","","","","","","","",""
"Pungarabato","","","29.7","","","","","","43.48","","","",""
"Quechultenango","","","","","","","","","","","","",""
"San Luis Acatlán","","","","","","","","","","","","",""
"San Marcos","","","","","","","","","","","","",""
"San Miguel Totolapan","","","","","","","","","","","","",""
"Taxco de Alarcón","","","35.77","","","","","","56.65","","","",""
"Tecoanapa","","","","","","","","","","","","",""
"Técpan de Galeana","","","25.92","","","","","","","","","",""
"Teloloapan","","","47.98","","","","","","54.02","","","",""
"Tepecoacuilco de Trujano","","","","","","","","","","","","",""
"Tetipac","","","","","","","","","","","","",""
"Tixtla de Guerrero","","","54.4","","","","","","68.36","","","",""
"Tlacoachistlahuaca","","","","","","","","","","","","",""
"Tlacoapa","","","","","","","","","","","","",""
"Tlalchapa","","","","","","","","","","","","",""
"Tlalixtaquilla de Maldonado","","","","","","","","","","","","",""
"Tlapa de Comonfort","","","52.92","","","","","","52.32","","","",""
"Tlapehuala","","","","","","","","","","","","",""
"La Unión de Isidoro Montes de Oca","","","","","","","","","","","","",""
"Xalpatláhuac","","","","","","","","","","","","",""
"Xochihuehuetlán","","","","","","","","","","","","",""
"Xochistlahuaca","","","","","","","","","","","","",""
"Zapotitlán Tablas","","","","","","","","","","","","",""
"Zirándaro","","","","","","","","","","","","",""
"Zitlala","","","","","","","","","","","","",""
"Eduardo Neri","","","35.44","","","","","","64.45","","","",""
"Acatepec","","","","","","","","","","","","",""
"Marquelia","","","","","","","","","","","","",""
"Cochoapa el Grande","","","","","","","","","","","","",""
"José Joaquín de Herrera","","","","","","","","","","","","",""
"Juchitán","","","","","","","","","","","","",""
"Iliatenco","","","","","","","","","","","","",""
"Hidalgo","12.33","13.49","12.95","16.45","","","","","","","","",""
"Acatlán","","","","","","","","","","","","",""
"Acaxochitlán","","","","","","","","","","","","",""
"Actopan","","","16.62","","","","","","20.24","","","",""
"Agua Blanca de Iturbide","","","","","","","","","","","","",""
"Ajacuba","","","","","","","","","","","","",""
"Alfajayucan","","","","","","","","","","","","",""
"Almoloya","","","","","","","","","","","","",""
"Apan","","","24.67","","","","","","19","","","",""
"El Arenal","","","","","","","","","","","","",""
"Atitalaquia","","","","","","","","","","","","",""
"Atlapexco","","","","","","","","","","","","",""
"Atotonilco el Grande","","","","","","","","","","","","",""
"Atotonilco de Tula","","","","","","","","","","","","",""
"Calnali","","","","","","","","","","","","",""
"Cardonal","","","","","","","","","","","","",""
"Cuautepec de Hinojosa","","","17.49","","","","","","27.14","","","",""
"Chapantongo","","","","","","","","","","","","",""
"Chapulhuacán","","","","","","","","","","","","",""
"Chilcuautla","","","","","","","","","","","","",""
"Eloxochitlán","","","","","","","","","","","","",""
"Emiliano Zapata","","","","","","","","","","","","",""
"Epazoyucan","","","","","","","","","","","","",""
"Francisco I. Madero","","","","","","","","","","","","",""
"Huasca de Ocampo","","","","","","","","","","","","",""
"Huautla","","","","","","","","","","","","",""
"Huazalingo","","","","","","","","","","","","",""
"Huehuetla","","","","","","","","","","","","",""
"Huejutla de Reyes","","","27.67","","","","","","58.03","","","",""
"Huichapan","","","","","","","","","","","","",""
"Ixmiquilpan","","","15.94","","","","","","28.28","","","",""
"Jacala de Ledezma","","","","","","","","","","","","",""
