"","11.1.3.Proporción de la población urbana que habita en viviendas precarias","","","","","","","","","","","",""
"Camocuautla","","","","","","","","","","","","",""
"Caxhuacan","","","","","","","","","","","","",""
"Coatepec","","","","","","","","","","","","",""
"Coatzingo","","","","","","","","","","","","",""
"Cohetzala","","","","","","","","","","","","",""
"Cohuecan","","","","","","","","","","","","",""
"Coronango","","","","","","","","","","","","",""
"Coxcatlán","","","","","","","","","","","","",""
"Coyomeapan","","","","","","","","","","","","",""
"Coyotepec","","","","","","","","","","","","",""
"Cuapiaxtla de Madero","","","","","","","","","","","","",""
"Cuautempan","","","","","","","","","","","","",""
"Cuautinchán","","","","","","","","","","","","",""
"Cuautlancingo","","","18.14","","","","","","49.7","","","",""
"Cuayuca de Andrade","","","","","","","","","","","","",""
"Cuetzalan del Progreso","","","","","","","","","","","","",""
"Cuyoaco","","","","","","","","","","","","",""
"Chalchicomula de Sesma","","","35.95","","","","","","57.74","","","",""
"Chapulco","","","","","","","","","","","","",""
"Chiautla","","","","","","","","","","","","",""
"Chiautzingo","","","","","","","","","","","","",""
"Chiconcuautla","","","","","","","","","","","","",""
"Chichiquila","","","","","","","","","","","","",""
"Chietla","","","","","","","","","","","","",""
"Chigmecatitlán","","","","","","","","","","","","",""
"Chignahuapan","","","20.71","","","","","","","","","",""
"Chignautla","","","","","","","","","","","","",""
"Chila","","","","","","","","","","","","",""
"Chila de la Sal","","","","","","","","","","","","",""
"Honey","","","","","","","","","","","","",""
"Chilchotla","","","","","","","","","","","","",""
"Chinantla","","","","","","","","","","","","",""
"Domingo Arenas","","","","","","","","","","","","",""
"Eloxochitlán","","","","","","","","","","","","",""
"Epatlán","","","","","","","","","","","","",""
"Esperanza","","","","","","","","","","","","",""
"Francisco Z. Mena","","","","","","","","","","","","",""
"General Felipe Ángeles","","","","","","","","","","","","",""
"Guadalupe","","","","","","","","","","","","",""
"Guadalupe Victoria","","","","","","","","","","","","",""
"Hermenegildo Galeana","","","","","","","","","","","","",""
"Huaquechula","","","","","","","","","","","","",""
"Huatlatlauca","","","","","","","","","","","","",""
"Huauchinango","","","39.6","","","","","","53.08","","","",""
"Huehuetla","","","","","","","","","","","","",""
"Huehuetlán el Chico","","","","","","","","","","","","",""
"Huejotzingo","","","35.33","","","","","","24.02","","","",""
"Hueyapan","","","","","","","","","","","","",""
"Hueytamalco","","","","","","","","","","","","",""
"Hueytlalpan","","","","","","","","","","","","",""
"Huitzilan de Serdán","","","","","","","","","","","","",""
"Huitziltepec","","","","","","","","","","","","",""
"Atlequizayan","","","","","","","","","","","","",""
"Ixcamilpa de Guerrero","","","","","","","","","","","","",""
"Ixcaquixtla","","","","","","","","","","","","",""
"Ixtacamaxtitlán","","","","","","","","","","","","",""
"Ixtepec","","","","","","","","","","","","",""
"Izúcar de Matamoros","","","31.59","","","","","","26.79","","","",""
"Jalpan","","","","","","","","","","","","",""
"Jolalpan","","","","","","","","","","","","",""
"Jonotla","","","","","","","","","","","","",""
"Jopala","","","","","","","","","","","","",""
"Juan C. Bonilla","","","","","","","","","","","","",""
"Juan Galindo","","","","","","","","","","","","",""
"Juan N. Méndez","","","","","","","","","","","","",""
"Lafragua","","","","","","","","","","","","",""
"Libres","","","29.04","","","","","","","","","",""
"La Magdalena Tlatlauquitepec","","","","","","","","","","","","",""
"Mazapiltepec de Juárez","","","","","","","","","","","","",""
"Mixtla","","","","","","","","","","","","",""
"Molcaxac","","","","","","","","","","","","",""
"Cañada Morelos","","","","","","","","","","","","",""
"Naupan","","","","","","","","","","","","",""
"Nauzontla","","","","","","","","","","","","",""
"Nealtican","","","","","","","","","","","","",""
"Nicolás Bravo","","","","","","","","","","","","",""
"Nopalucan","","","","","","","","","","","","",""
"Ocotepec","","","","","","","","","","","","",""
"Ocoyucan","","","","","","","","","","","","",""
"Olintla","","","","","","","","","","","","",""
"Oriental","","","","","","","","","","","","",""
"Pahuatlán","","","","","","","","","","","","",""
"Palmar de Bravo","","","","","","","","","","","","",""
"Pantepec","","","","","","","","","","","","",""
"Petlalcingo","","","","","","","","","","","","",""
"Piaxtla","","","","","","","","","","","","",""
"Puebla","","","20.14","","","","","","20.55","","","",""
"Quecholac","","","44.5","","","","","","","","","",""
"Quimixtlán","","","","","","","","","","","","",""
"Rafael Lara Grajales","","","","","","","","","","","","",""
"Los Reyes de Juárez","","","47.02","","","","","","79.26","","","",""
"San Andrés Cholula","","","83.32","","","","","","61.68","","","",""
"San Antonio Cañada","","","","","","","","","","","","",""
"San Diego la Mesa Tochimiltzingo","","","","","","","","","","","","",""
"San Felipe Teotlalcingo","","","","","","","","","","","","",""
"San Felipe Tepatlán","","","","","","","","","","","","",""
"San Gabriel Chilac","","","","","","","","","","","","",""
"San Gregorio Atzompa","","","","","","","","","","","","",""
"San Jerónimo Tecuanipan","","","","","","","","","","","","",""
"San Jerónimo Xayacatlán","","","","","","","","","","","","",""
"San José Chiapa","","","","","","","","","","","","",""
"San José Miahuatlán","","","","","","","","","","","","",""
"San Juan Atenco","","","","","","","","","","","","",""
"San Juan Atzompa","","","","","","","","","","","","",""
"San Martín Texmelucan","","","23.71","","","","","","29.34","","","",""
"San Martín Totoltepec","","","","","","","","","","","","",""
"San Matías Tlalancaleca","","","","","","","","","","","","",""
"San Miguel Ixitlán","","","","","","","","","","","","",""
"San Miguel Xoxtla","","","","","","","","","","","","",""
"San Nicolás Buenos Aires","","","","","","","","","","","","",""
"San Nicolás de los Ranchos","","","","","","","","","","","","",""
"San Pablo Anicano","","","","","","","","","","","","",""
"San Pedro Cholula","","","43.15","","","","","","45.5","","","",""
"San Pedro Yeloixtlahuaca","","","","","","","","","","","","",""
"San Salvador el Seco","","","41.91","","","","","","","","","",""
"San Salvador el Verde","","","","","","","","","","","","",""
"San Salvador Huixcolotla","","","","","","","","","","","","",""
"San Sebastián Tlacotepec","","","","","","","","","","","","",""
"Santa Catarina Tlaltempan","","","","","","","","","","","","",""
"Santa Inés Ahuatempan","","","","","","","","","","","","",""
"Santa Isabel Cholula","","","","","","","","","","","","",""
"Santiago Miahuatlán","","","","","","","","","","","","",""
"Huehuetlán el Grande","","","","","","","","","","","","",""
"Santo Tomás Hueyotlipan","","","","","","","","","","","","",""
"Soltepec","","","","","","","","","","","","",""
"Tecali de Herrera","","","","","","","","","","","","",""
"Tecamachalco","","","29.39","","","","","","49.37","","","",""
"Tecomatlán","","","","","","","","","","","","",""
"Tehuacán","","","32.52","","","","","","36.43","","","",""
"Tehuitzingo","","","","","","","","","","","","",""
"Tenampulco","","","","","","","","","","","","",""
"Teopantlán","","","","","","","","","","","","",""
"Teotlalco","","","","","","","","","","","","",""
"Tepanco de López","","","","","","","","","","","","",""
"Tepango de Rodríguez","","","","","","","","","","","","",""
"Tepatlaxco de Hidalgo","","","45.92","","","","","","","","","",""
"Tepeaca","","","37.91","","","","","","39.03","","","",""
"Tepemaxalco","","","","","","","","","","","","",""
"Tepeojuma","","","","","","","","","","","","",""
"Tepetzintla","","","","","","","","","","","","",""
"Tepexco","","","","","","","","","","","","",""
"Tepexi de Rodríguez","","","","","","","","","","","","",""
"Tepeyahualco","","","","","","","","","","","","",""
"Tepeyahualco de Cuauhtémoc","","","","","","","","","","","","",""
"Tetela de Ocampo","","","","","","","","","","","","",""
"Teteles de Avila Castillo","","","","","","","","","","","","",""
"Teziutlán","","","22.98","","","","","","36.33","","","",""
"Tianguismanalco","","","","","","","","","","","","",""
"Tilapa","","","","","","","","","","","","",""
"Tlacotepec de Benito Juárez","","","","","","","","","","","","",""
"Tlacuilotepec","","","","","","","","","","","","",""
"Tlachichuca","","","","","","","","","","","","",""
"Tlahuapan","","","","","","","","","","","","",""
"Tlaltenango","","","","","","","","","","","","",""
"Tlanepantla","","","","","","","","","","","","",""
"Tlaola","","","","","","","","","","","","",""
"Tlapacoya","","","","","","","","","","","","",""
"Tlapanalá","","","","","","","","","","","","",""
"Tlatlauquitepec","","","","","","","","","","","","",""
"Tlaxco","","","","","","","","","","","","",""
"Tochimilco","","","","","","","","","","","","",""
"Tochtepec","","","","","","","","","","","","",""
"Totoltepec de Guerrero","","","","","","","","","","","","",""
"Tulcingo","","","","","","","","","","","","",""
"Tuzamapan de Galeana","","","","","","","","","","","","",""
"Tzicatlacoyan","","","","","","","","","","","","",""
"Venustiano Carranza","","","","","","","","","","","","",""
"Vicente Guerrero","","","","","","","","","","","","",""
"Xayacatlán de Bravo","","","","","","","","","","","","",""
"Xicotepec","","","48.7","","","","","","46.31","","","",""
"Xicotlán","","","","","","","","","","","","",""
"Xiutetelco","","","","","","","","","","","","",""
"Xochiapulco","","","","","","","","","","","","",""
"Xochiltepec","","","","","","","","","","","","",""
"Xochitlán de Vicente Suárez","","","","","","","","","","","","",""
"Xochitlán Todos Santos","","","","","","","","","","","","",""
"Yaonáhuac","","","","","","","","","","","","",""
"Yehualtepec","","","","","","","","","","","","",""
"Zacapala","","","","","","","","","","","","",""
"Zacapoaxtla","","","","","","","","","","","","",""
"Zacatlán","","","28.03","","","","","","34.46","","","",""
"Zapotitlán","","","","","","","","","","","","",""
"Zapotitlán de Méndez","","","","","","","","","","","","",""
"Zaragoza","","","","","","","","","","","","",""
"Zautla","","","","","","","","","","","","",""
"Zihuateutla","","","","","","","","","","","","",""
"Zinacatepec","","","40.02","","","","","","","","","",""
"Zongozotla","","","","","","","","","","","","",""
"Zoquiapan","","","","","","","","","","","","",""
"Zoquitlán","","","","","","","","","","","","",""
"Querétaro","7.98","11.46","10.61","10.38","","","","","","","","",""
"Amealco de Bonfil","","","","","","","","","","","","",""
"Pinal de Amoles","","","","","","","","","","","","",""
"Arroyo Seco","","","","","","","","","","","","",""
"Cadereyta de Montes","","","","","","","","","","","","",""
"Colón","","","","","","","","","","","","",""
"Corregidora","","","6.12","","","","","","19.75","","","",""
"Ezequiel Montes","","","","","","","","","","","","",""
"Huimilpan","","","","","","","","","","","","",""
"Jalpan de Serra","","","","","","","","","","","","",""
"Landa de Matamoros","","","","","","","","","","","","",""
"El Marqués","","","","","","","","","","","","",""
"Pedro Escobedo","","","","","","","","","","","","",""
"Peñamiller","","","","","","","","","","","","",""
"Querétaro","","","13.67","","","","","","14.7","","","",""
"San Joaquín","","","","","","","","","","","","",""
"San Juan del Río","","","15.85","","","","","","10.58","","","",""
"Tequisquiapan","","","28.92","","","","","","25.85","","","",""
"Tolimán","","","","","","","","","","","","",""
"Quintana Roo","14.38","14.27","17.33","20.16","","","","","","","","",""
"Cozumel","","","25.41","","","","","","34.95","","","",""
"Felipe Carrillo Puerto","","","37.6","","","","","","47.69","","","",""
"Isla Mujeres","","","","","","","","","","","","",""
"Othón P. Blanco","","","18.77","","","","","","30.68","","","",""
"Benito Juárez","","","25.61","","","","","","36.31","","","",""
"José María Morelos","","","","","","","","","","","","",""
"Lázaro Cárdenas","","","","","","","","","","","","",""
"Solidaridad","","","27.03","","","","","","67.35","","","",""
"Tulum","","","48.06","","","","","","","","","",""
"Bacalar","","","","","","","","","","","","",""
"Puerto Morelos","","","","","","","","","","","","",""
"San Luis Potosí","7.94","7.33","10.83","10.02","","","","","","","","",""
"Ahualulco","","","","","","","","","","","","",""
"Alaquines","","","","","","","","","","","","",""
"Aquismón","","","","","","","","","","","","",""
"Armadillo de los Infante","","","","","","","","","","","","",""
"Cárdenas","","","23.31","","","","","","","","","",""
"Catorce","","","","","","","","","","","","",""
"Cedral","","","","","","","","","","","","",""
"Cerritos","","","","","","","","","","","","",""
"Cerro de San Pedro","","","","","","","","","","","","",""
"Ciudad del Maíz","","","","","","","","","","","","",""
"Ciudad Fernández","","","29.49","","","","","","38.41","","","",""
"Tancanhuitz","","","","","","","","","","","","",""
"Ciudad Valles","","","20.53","","","","","","33.96","","","",""
"Coxcatlán","","","","","","","","","","","","",""
"Charcas","","","","","","","","","","","","",""
"Ebano","","","23.73","","","","","","56.23","","","",""
"Guadalcázar","","","","","","","","","","","","",""
"Huehuetlán","","","","","","","","","","","","",""
"Lagunillas","","","","","","","","","","","","",""
"Matehuala","","","11.45","","","","","","22.28","","","",""
"Mexquitic de Carmona","","","","","","","","","","","","",""
"Moctezuma","","","","","","","","","","","","",""
"Rayón","","","","","","","","","","","","",""
"Rioverde","","","26.5","","","","","","23.05","","","",""
"Salinas","","","15.35","","","","","","","","","",""
"San Antonio","","","","","","","","","","","","",""
"San Ciro de Acosta","","","","","","","","","","","","",""
"San Luis Potosí","","","8.3","","","","","","6.99","","","",""
"San Martín Chalchicuautla","","","","","","","","","","","","",""
"San Nicolás Tolentino","","","","","","","","","","","","",""
"Santa Catarina","","","","","","","","","","","","",""
"Santa María del Río","","","","","","","","","","","","",""
"Santo Domingo","","","","","","","","","","","","",""
"San Vicente Tancuayalab","","","","","","","","","","","","",""
"Soledad de Graciano Sánchez","","","10.77","","","","","","13.05","","","",""
"Tamasopo","","","","","","","","","","","","",""
"Tamazunchale","","","29.97","","","","","","58.31","","","",""
"Tampacán","","","","","","","","","","","","",""
"Tampamolón Corona","","","","","","","","","","","","",""
"Tamuín","","","28.25","","","","","","","","","",""
"Tanlajás","","","","","","","","","","","","",""
"Tanquián de Escobedo","","","","","","","","","","","","",""
"Tierra Nueva","","","","","","","","","","","","",""
"Vanegas","","","","","","","","","","","","",""
"Venado","","","","","","","","","","","","",""
"Villa de Arriaga","","","","","","","","","","","","",""
"Villa de Guadalupe","","","","","","","","","","","","",""
"Villa de la Paz","","","","","","","","","","","","",""
"Villa de Ramos","","","","","","","","","","","","",""
"Villa de Reyes","","","","","","","","","","","","",""
"Villa Hidalgo","","","","","","","","","","","","",""
"Villa Juárez","","","","","","","","","","","","",""
"Axtla de Terrazas","","","","","","","","","","","","",""
"Xilitla","","","","","","","","","","","","",""
"Zaragoza","","","","","","","","","","","","",""
"Villa de Arista","","","","","","","","","","","","",""
"Matlapa","","","","","","","","","","","","",""
"El Naranjo","","","","","","","","","","","","",""
"Sinaloa","6.62","8.44","7.21","7.76","","","","","","","","",""
"Ahome","","","10.29","","","","","","11.81","","","",""
"Angostura","","","","","","","","","","","","",""
"Badiraguato","","","","","","","","","","","","",""
"Concordia","","","","","","","","","","","","",""
"Cosalá","","","","","","","","","","","","",""
"Culiacán","","","10.46","","","","","","15.52","","","",""
"Choix","","","","","","","","","","","","",""
"Elota","","","21.4","","","","","","","","","",""
"Escuinapa","","","19.57","","","","","","33.33","","","",""
"El Fuerte","","","","","","","","","","","","",""
"Guasave","","","15.51","","","","","","29.13","","","",""
"Mazatlán","","","15.79","","","","","","17.53","","","",""
"Mocorito","","","","","","","","","","","","",""
"Rosario","","","18.62","","","","","","","","","",""
"Salvador Alvarado","","","11.77","","","","","","20.6","","","",""
"San Ignacio","","","","","","","","","","","","",""
"Sinaloa","","","","","","","","","","","","",""
"Navolato","","","22.62","","","","","","35.47","","","",""
"Sonora","9.39","10.75","13.57","12.66","","","","","","","","",""
"Aconchi","","","","","","","","","","","","",""
"Agua Prieta","","","16.86","","","","","","19.77","","","",""
"Alamos","","","","","","","","","","","","",""
"Altar","","","","","","","","","","","","",""
"Arivechi","","","","","","","","","","","","",""
"Arizpe","","","","","","","","","","","","",""
"Atil","","","","","","","","","","","","",""
"Bacadéhuachi","","","","","","","","","","","","",""
"Bacanora","","","","","","","","","","","","",""
"Bacerac","","","","","","","","","","","","",""
"Bacoachi","","","","","","","","","","","","",""
"Bácum","","","","","","","","","","","","",""
"Banámichi","","","","","","","","","","","","",""
"Baviácora","","","","","","","","","","","","",""
"Bavispe","","","","","","","","","","","","",""
"Benjamín Hill","","","","","","","","","","","","",""
"Caborca","","","10.79","","","","","","16.38","","","",""
"Cajeme","","","11.19","","","","","","14.45","","","",""
"Cananea","","","12.12","","","","","","8.34","","","",""
"Carbó","","","","","","","","","","","","",""
"La Colorada","","","","","","","","","","","","",""
"Cucurpe","","","","","","","","","","","","",""
"Cumpas","","","","","","","","","","","","",""
"Divisaderos","","","","","","","","","","","","",""
"Empalme","","","15.54","","","","","","35.82","","","",""
"Etchojoa","","","","","","","","","","","","",""
"Fronteras","","","","","","","","","","","","",""
"Granados","","","","","","","","","","","","",""
"Guaymas","","","15.52","","","","","","18.02","","","",""
"Hermosillo","","","14.25","","","","","","18.42","","","",""
"Huachinera","","","","","","","","","","","","",""
"Huásabas","","","","","","","","","","","","",""
"Huatabampo","","","17.38","","","","","","31.39","","","",""
"Huépac","","","","","","","","","","","","",""
"Imuris","","","","","","","","","","","","",""
"Magdalena","","","16.49","","","","","","17.8","","","",""
"Mazatán","","","","","","","","","","","","",""
"Moctezuma","","","","","","","","","","","","",""
"Naco","","","","","","","","","","","","",""
"Nácori Chico","","","","","","","","","","","","",""
"Nacozari de García","","","","","","","","","","","","",""
"Navojoa","","","22.78","","","","","","31.75","","","",""
"Nogales","","","27.56","","","","","","34.02","","","",""
"Onavas","","","","","","","","","","","","",""
"Opodepe","","","","","","","","","","","","",""
"Oquitoa","","","","","","","","","","","","",""
"Pitiquito","","","","","","","","","","","","",""
"Puerto Peñasco","","","28.09","","","","","","35.65","","","",""
"Quiriego","","","","","","","","","","","","",""
"Rayón","","","","","","","","","","","","",""
"Rosario","","","","","","","","","","","","",""
"Sahuaripa","","","","","","","","","","","","",""
"San Felipe de Jesús","","","","","","","","","","","","",""
"San Javier","","","","","","","","","","","","",""
"San Luis Río Colorado","","","17.73","","","","","","23.29","","","",""
"San Miguel de Horcasitas","","","","","","","","","","","","",""
"San Pedro de la Cueva","","","","","","","","","","","","",""
"Santa Ana","","","","","","","","","","","","",""
"Santa Cruz","","","","","","","","","","","","",""
"Sáric","","","","","","","","","","","","",""
"Soyopa","","","","","","","","","","","","",""
"Suaqui Grande","","","","","","","","","","","","",""
"Tepache","","","","","","","","","","","","",""
"Trincheras","","","","","","","","","","","","",""
"Tubutama","","","","","","","","","","","","",""
"Ures","","","","","","","","","","","","",""
"Villa Hidalgo","","","","","","","","","","","","",""
"Villa Pesqueira","","","","","","","","","","","","",""
"Yécora","","","","","","","","","","","","",""
"General Plutarco Elías Calles","","","","","","","","","","","","",""
"Benito Juárez","","","","","","","","","","","","",""
"San Ignacio Río Muerto","","","","","","","","","","","","",""
"Tabasco","14.43","20.13","19.46","16.41","","","","","","","","",""
"Balancán","","","","","","","","","","","","",""
"Cárdenas","","","34.38","","","","","","28.48","","","",""
"Centla","","","23.04","","","","","","30.11","","","",""
"Centro","","","15.82","","","","","","19.35","","","",""
"Comalcalco","","","40.54","","","","","","26.09","","","",""
"Cunduacán","","","14.53","","","","","","15.84","","","",""
"Emiliano Zapata","","","87.59","","","","","","14.49","","","",""
"Huimanguillo","","","20.67","","","","","","27.86","","","",""
"Jalapa","","","","","","","","","","","","",""
"Jalpa de Méndez","","","9.08","","","","","","","","","",""
"Jonuta","","","","","","","","","","","","",""
"Macuspana","","","92.51","","","","","","28.59","","","",""
"Nacajuca","","","","","","","","","","","","",""
"Paraíso","","","11.76","","","","","","16.3","","","",""
"Tacotalpa","","","","","","","","","","","","",""
"Teapa","","","25.3","","","","","","24.53","","","",""
"Tenosique","","","71.8","","","","","","44.49","","","",""
"Tamaulipas","9","11.89","11.15","12.97","","","","","","","","",""
"Abasolo","","","","","","","","","","","","",""
"Aldama","","","","","","","","","","","","",""
"Altamira","","","18","","","","","","47.78","","","",""
"Antiguo Morelos","","","","","","","","","","","","",""
"Burgos","","","","","","","","","","","","",""
"Bustamante","","","","","","","","","","","","",""
"Camargo","","","","","","","","","","","","",""
"Casas","","","","","","","","","","","","",""
"Ciudad Madero","","","17.81","","","","","","18.84","","","",""
"Cruillas","","","","","","","","","","","","",""
"Gómez Farías","","","","","","","","","","","","",""
"González","","","","","","","","","","","","",""
"Güémez","","","","","","","","","","","","",""
"Guerrero","","","","","","","","","","","","",""
"Gustavo Díaz Ordaz","","","","","","","","","","","","",""
"Hidalgo","","","","","","","","","","","","",""
"Jaumave","","","","","","","","","","","","",""
"Jiménez","","","","","","","","","","","","",""
"Llera","","","","","","","","","","","","",""
"Mainero","","","","","","","","","","","","",""
"El Mante","","","20.68","","","","","","29.05","","","",""
"Matamoros","","","16.74","","","","","","33.58","","","",""
"Méndez","","","","","","","","","","","","",""
"Mier","","","","","","","","","","","","",""
"Miguel Alemán","","","19.51","","","","","","11.38","","","",""
"Miquihuana","","","","","","","","","","","","",""
"Nuevo Laredo","","","13.45","","","","","","24.79","","","",""
"Nuevo Morelos","","","","","","","","","","","","",""
"Ocampo","","","","","","","","","","","","",""
"Padilla","","","","","","","","","","","","",""
"Palmillas","","","","","","","","","","","","",""
"Reynosa","","","16.97","","","","","","27.71","","","",""
"Río Bravo","","","18.35","","","","","","23.82","","","",""
"San Carlos","","","","","","","","","","","","",""
"San Fernando","","","48.88","","","","","","58.95","","","",""
"San Nicolás","","","","","","","","","","","","",""
"Soto la Marina","","","","","","","","","","","","",""
"Tampico","","","15.14","","","","","","18.93","","","",""
"Tula","","","","","","","","","","","","",""
"Valle Hermoso","","","21.32","","","","","","30.45","","","",""
"Victoria","","","16.05","","","","","","21.1","","","",""
"Villagrán","","","","","","","","","","","","",""
"Xicoténcatl","","","","","","","","","","","","",""
"Tlaxcala","16.29","14.6","14.5","12.34","","","","","","","","",""
"Amaxac de Guerrero","","","","","","","","","","","","",""
"Apetatitlán de Antonio Carvajal","","","","","","","","","","","","",""
"Atlangatepec","","","","","","","","","","","","",""
"Atltzayanca","","","","","","","","","","","","",""
"Apizaco","","","10.88","","","","","","15.35","","","",""
"Calpulalpan","","","24.34","","","","","","17.27","","","",""
"El Carmen Tequexquitla","","","","","","","","","","","","",""
"Cuapiaxtla","","","","","","","","","","","","",""
"Cuaxomulco","","","","","","","","","","","","",""
"Chiautempan","","","29.39","","","","","","26.9","","","",""
"Muñoz de Domingo Arenas","","","","","","","","","","","","",""
"Españita","","","","","","","","","","","","",""
"Huamantla","","","18.69","","","","","","34.97","","","",""
"Hueyotlipan","","","","","","","","","","","","",""
"Ixtacuixtla de Mariano Matamoros","","","","","","","","","","","","",""
"Ixtenco","","","","","","","","","","","","",""
"Mazatecochco de José María Morelos","","","","","","","","","","","","",""
"Contla de Juan Cuamatzi","","","28.62","","","","","","39.71","","","",""
"Tepetitla de Lardizábal","","","","","","","","","","","","",""
"Sanctórum de Lázaro Cárdenas","","","","","","","","","","","","",""
"Nanacamilpa de Mariano Arista","","","","","","","","","","","","",""
"Acuamanala de Miguel Hidalgo","","","","","","","","","","","","",""
"Natívitas","","","","","","","","","","","","",""
"Panotla","","","","","","","","","","","","",""
"San Pablo del Monte","","","30.16","","","","","","33.89","","","",""
"Santa Cruz Tlaxcala","","","","","","","","","","","","",""
"Tenancingo","","","","","","","","","","","","",""
"Teolocholco","","","25.79","","","","","","","","","",""
"Tepeyanco","","","","","","","","","","","","",""
"Terrenate","","","","","","","","","","","","",""
"Tetla de la Solidaridad","","","19.06","","","","","","","","","",""
"Tetlatlahuca","","","","","","","","","","","","",""
"Tlaxcala","","","6.09","","","","","","19.02","","","",""
"Tlaxco","","","","","","","","","","","","",""
"Tocatlán","","","","","","","","","","","","",""
"Totolac","","","","","","","","","","","","",""
"Ziltlaltépec de Trinidad Sánchez Santos","","","","","","","","","","","","",""
"Tzompantepec","","","","","","","","","","","","",""
"Xaloztoc","","","","","","","","","49.7","","","",""
"Xaltocan","","","","","","","","","","","","",""
"Papalotla de Xicohténcatl","","","20.43","","","","","","27.66","","","",""
"Xicohtzinco","","","","","","","","","","","","",""
"Yauhquemehcan","","","","","","","","","","","","",""
"Zacatelco","","","25.28","","","","","","26.13","","","",""
"Benito Juárez","","","","","","","","","","","","",""
"Emiliano Zapata","","","","","","","","","","","","",""
"Lázaro Cárdenas","","","","","","","","","","","","",""
"La Magdalena Tlaltelulco","","","24.77","","","","","","","","","",""
"San Damián Texóloc","","","","","","","","","","","","",""
"San Francisco Tetlanohcan","","","","","","","","","","","","",""
"San Jerónimo Zacualpan","","","","","","","","","","","","",""
"San José Teacalco","","","","","","","","","","","","",""
"San Juan Huactzinco","","","","","","","","","","","","",""
"San Lorenzo Axocomanitla","","","","","","","","","","","","",""
"San Lucas Tecopilco","","","","","","","","","","","","",""
"Santa Ana Nopalucan","","","","","","","","","","","","",""
"Santa Apolonia Teacalco","","","","","","","","","","","","",""
"Santa Catarina Ayometla","","","","","","","","","","","","",""
"Santa Cruz Quilehtla","","","","","","","","","","","","",""
"Santa Isabel Xiloxoxtla","","","","","","","","","","","","",""
"Veracruz de Ignacio de la Llave","22.29","18.86","20.47","27.14","","","","","","","","",""
"Acajete","","","","","","","","","","","","",""
"Acatlán","","","","","","","","","","","","",""
"Acayucan","","","49.12","","","","","","39.98","","","",""
"Actopan","","","","","","","","","","","","",""
"Acula","","","","","","","","","","","","",""
"Acultzingo","","","","","","","","","","","","",""
"Camarón de Tejeda","","","","","","","","","","","","",""
"Alpatláhuac","","","","","","","","","","","","",""
"Alto Lucero de Gutiérrez Barrios","","","","","","","","","","","","",""
"Altotonga","","","30.02","","","","","","40.65","","","",""
"Alvarado","","","18.32","","","","","","37.41","","","",""
"Amatitlán","","","","","","","","","","","","",""
"Naranjos Amatlán","","","19.48","","","","","","29.89","","","",""
"Amatlán de los Reyes","","","","","","","","","","","","",""
"Angel R. Cabada","","","","","","","","","","","","",""
"La Antigua","","","21.3","","","","","","23.41","","","",""
"Apazapan","","","","","","","","","","","","",""
"Aquila","","","","","","","","","","","","",""
"Astacinga","","","","","","","","","","","","",""
"Atlahuilco","","","","","","","","","","","","",""
"Atoyac","","","","","","","","","","","","",""
"Atzacan","","","","","","","","","","","","",""
"Atzalan","","","","","","","","","","","","",""
"Tlaltetela","","","","","","","","","","","","",""
"Ayahualulco","","","","","","","","","","","","",""
"Banderilla","","","16.63","","","","","","31.51","","","",""
"Benito Juárez","","","","","","","","","","","","",""
"Boca del Río","","","14.39","","","","","","24.89","","","",""
"Calcahualco","","","","","","","","","","","","",""
"Camerino Z. Mendoza","","","21.07","","","","","","33.39","","","",""
"Carrillo Puerto","","","","","","","","","","","","",""
"Catemaco","","","35.01","","","","","","49.78","","","",""
"Cazones de Herrera","","","","","","","","","","","","",""
"Cerro Azul","","","38.33","","","","","","49.06","","","",""
"Citlaltépetl","","","","","","","","","","","","",""
"Coacoatzintla","","","","","","","","","","","","",""
"Coahuitlán","","","","","","","","","","","","",""
"Coatepec","","","29.12","","","","","","38.75","","","",""
"Coatzacoalcos","","","23.87","","","","","","38.5","","","",""
"Coatzintla","","","24.67","","","","","","27.5","","","",""
"Coetzala","","","","","","","","","","","","",""
"Colipa","","","","","","","","","","","","",""
"Comapa","","","","","","","","","","","","",""
"Córdoba","","","29.5","","","","","","35.93","","","",""
"Cosamaloapan de Carpio","","","16.2","","","","","","20.84","","","",""
"Cosautlán de Carvajal","","","","","","","","","","","","",""
"Coscomatepec","","","32.38","","","","","","","","","",""
"Cosoleacaque","","","45.27","","","","","","56.84","","","",""
"Cotaxtla","","","","","","","","","","","","",""
"Coxquihui","","","","","","","","","","","","",""
"Coyutla","","","","","","","","","","","","",""
"Cuichapa","","","","","","","","","","","","",""
"Cuitláhuac","","","","","","","","","","","","",""
"Chacaltianguis","","","","","","","","","","","","",""
"Chalma","","","","","","","","","","","","",""
"Chiconamel","","","","","","","","","","","","",""
"Chiconquiaco","","","","","","","","","","","","",""
"Chicontepec","","","","","","","","","","","","",""
"Chinameca","","","","","","","","","","","","",""
"Chinampa de Gorostiza","","","","","","","","","","","","",""
"Las Choapas","","","57.4","","","","","","71.35","","","",""
"Chocamán","","","","","","","","","","","","",""
"Chontla","","","","","","","","","","","","",""
"Chumatlán","","","","","","","","","","","","",""
"Emiliano Zapata","","","","","","","","","","","","",""
"Espinal","","","","","","","","","","","","",""
"Filomeno Mata","","","","","","","","","","","","",""
"Fortín","","","17.16","","","","","","50.2","","","",""
