"","2.1.2.Proporción de la población con inseguridad alimentaria moderada o severa (carencia por acceso a la alimentación)","",""
"San Gabriel","","","28.6"
"Villa Corona","","","26.6"
"Villa Guerrero","","","30.1"
"Villa Hidalgo","","","14.4"
"Cañadas de Obregón","","","13.3"
"Yahualica de González Gallo","","","23.1"
"Zacoalco de Torres","","","19.2"
"Zapopan","","","14.1"
"Zapotiltic","","","15.3"
"Zapotitlán de Vadillo","","","30.3"
"Zapotlán del Rey","","","28.9"
"Zapotlanejo","","","25.5"
"San Ignacio Cerro Gordo","","","31.3"
"México","21.3","17.7","31.6"
"Acambay de Ruíz Castañeda","","","51.3"
"Acolman","","","30.4"
"Aculco","","","45.9"
"Almoloya de Alquisiras","","","35.7"
"Almoloya de Juárez","","","34.9"
"Almoloya del Río","","","18.4"
"Amanalco","","","44.1"
"Amatepec","","","39.3"
"Amecameca","","","31.5"
"Apaxco","","","34.3"
"Atenco","","","41.2"
"Atizapán","","","41.6"
"Atizapán de Zaragoza","","","27.7"
"Atlacomulco","","","30.1"
"Atlautla","","","35.3"
"Axapusco","","","37.6"
"Ayapango","","","28.2"
"Calimaya","","","42.4"
"Capulhuac","","","31.6"
"Coacalco de Berriozábal","","","16.8"
"Coatepec Harinas","","","35.5"
"Cocotitlán","","","27.6"
"Coyotepec","","","42.1"
"Cuautitlán","","","22.3"
"Chalco","","","32.5"
"Chapa de Mota","","","37.4"
"Chapultepec","","","31.4"
"Chiautla","","","33.1"
"Chicoloapan","","","36.4"
"Chiconcuac","","","29.6"
"Chimalhuacán","","","40.7"
"Donato Guerra","","","49"
"Ecatepec de Morelos","","","31.1"
"Ecatzingo","","","36.9"
"Huehuetoca","","","32.2"
"Hueypoxtla","","","37.4"
"Huixquilucan","","","24.6"
"Isidro Fabela","","","29.5"
"Ixtapaluca","","","32.2"
"Ixtapan de la Sal","","","30.6"
"Ixtapan del Oro","","","51.6"
"Ixtlahuaca","","","43.9"
"Xalatlaco","","","41.6"
"Jaltenco","","","24.8"
"Jilotepec","","","39.8"
"Jilotzingo","","","23.5"
"Jiquipilco","","","49.2"
"Jocotitlán","","","30.5"
"Joquicingo","","","42.4"
"Juchitepec","","","32.6"
"Lerma","","","41"
"Malinalco","","","44.5"
"Melchor Ocampo","","","36.5"
"Metepec","","","22.3"
"Mexicaltzingo","","","25.1"
"Morelos","","","49.3"
"Naucalpan de Juárez","","","29.2"
"Nezahualcóyotl","","","26.1"
"Nextlalpan","","","49.9"
"Nicolás Romero","","","35.1"
"Nopaltepec","","","33.1"
"Ocoyoacac","","","36.1"
"Ocuilan","","","47.8"
"El Oro","","","45"
"Otumba","","","31.8"
"Otzoloapan","","","43.5"
"Otzolotepec","","","41"
"Ozumba","","","40.7"
"Papalotla","","","24.9"
"La Paz","","","34.6"
"Polotitlán","","","34.1"
"Rayón","","","37.2"
"San Antonio la Isla","","","27.2"
"San Felipe del Progreso","","","61.4"
"San Martín de las Pirámides","","","36.7"
"San Mateo Atenco","","","42"
"San Simón de Guerrero","","","38.5"
"Santo Tomás","","","37"
"Soyaniquilpan de Juárez","","","35.8"
"Sultepec","","","59.1"
"Tecámac","","","28.1"
"Tejupilco","","","46.9"
